area_scaled,age_0_-_1,age_6_-_9,age_1_-_5,age_10_-_19,age_20_-_40,floor_numeric,total_rooms
-1.7195547025456317,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,0.0,4.0
-1.7195547025456317,1.0,0.0,0.0,0.0,0.0,3.0,6.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,3.0,4.0
-1.7195547025456317,0.0,1.0,0.0,0.0,0.0,3.0,3.0
-1.7195547025456317,0.0,0.0,0.0,0.0,1.0,-2.0,4.0
-1.69320727932019,1.0,0.0,0.0,0.0,0.0,2.0,4.0
-1.69320727932019,0.0,0.0,1.0,0.0,0.0,0.0,4.0
-1.69320727932019,0.0,0.0,0.0,0.0,1.0,1.0,4.0
-1.69320727932019,1.0,0.0,0.0,0.0,0.0,2.0,4.0
-1.69320727932019,1.0,0.0,0.0,0.0,0.0,2.0,4.0
-1.6668598560947485,0.0,0.0,1.0,0.0,0.0,1.0,5.0
-1.6668598560947485,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.6668598560947485,0.0,0.0,0.0,0.0,1.0,1.0,5.0
-1.6668598560947485,0.0,0.0,0.0,0.0,1.0,-2.0,4.0
-1.6668598560947485,0.0,1.0,0.0,0.0,0.0,2.0,4.0
-1.6668598560947485,0.0,0.0,1.0,0.0,0.0,4.0,6.0
-1.6668598560947485,0.0,0.0,1.0,0.0,0.0,4.0,6.0
-1.6668598560947485,0.0,0.0,0.0,0.0,1.0,1.0,2.0
-1.6405124328693068,0.0,0.0,0.0,0.0,1.0,1.0,5.0
-1.6405124328693068,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.6405124328693068,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.6141650096438651,0.0,0.0,0.0,0.0,1.0,1.0,5.0
-1.6141650096438651,0.0,0.0,0.0,0.0,1.0,2.0,4.0
-1.5878175864184234,0.0,0.0,0.0,0.0,1.0,0.0,5.0
-1.5878175864184234,0.0,0.0,0.0,0.0,1.0,3.0,5.0
-1.5878175864184234,0.0,1.0,0.0,0.0,0.0,-2.0,4.0
-1.5878175864184234,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.5878175864184234,0.0,0.0,1.0,0.0,0.0,-2.0,4.0
-1.5878175864184234,0.0,0.0,1.0,0.0,0.0,0.0,4.0
-1.5878175864184234,0.0,1.0,0.0,0.0,0.0,2.0,3.0
-1.5878175864184234,0.0,0.0,0.0,0.0,1.0,0.0,2.0
-1.561470163192982,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-1.561470163192982,0.0,0.0,1.0,0.0,0.0,1.0,4.0
-1.5351227399675402,0.0,0.0,0.0,0.0,1.0,0.0,4.0
-1.5087753167420985,0.0,0.0,0.0,0.0,1.0,3.0,4.0
-1.5087753167420985,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.4824278935166568,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.4824278935166568,0.0,0.0,1.0,0.0,0.0,3.0,4.0
-1.4560804702912153,0.0,0.0,0.0,0.0,1.0,-2.0,5.0
-1.4560804702912153,0.0,0.0,1.0,0.0,0.0,2.0,4.0
-1.4560804702912153,0.0,0.0,1.0,0.0,0.0,1.0,5.0
